file,input_path,output_path,total_records,kept_records,dropped_records
subtask_3-chinese_E1B1_res.jsonl,/workspace/postpreprocess/data/subtask_3-chinese_E1B1_res.jsonl,/workspace/postpreprocess/clean/subtask_3-chinese_E1B1_res.jsonl,300,273,27
opt_query_bert_chinese_lap_full_pred.jsonl,/workspace/postpreprocess/data/opt_query_bert_chinese_lap_full_pred.jsonl,/workspace/postpreprocess/clean/opt_query_bert_chinese_lap_full_pred.jsonl,300,262,38
opt_query_bert_chinese_res_full_pred.jsonl,/workspace/postpreprocess/data/opt_query_bert_chinese_res_full_pred.jsonl,/workspace/postpreprocess/clean/opt_query_bert_chinese_res_full_pred.jsonl,300,271,29
opt_query_bert_multilingual_lap_full_pred.jsonl,/workspace/postpreprocess/data/opt_query_bert_multilingual_lap_full_pred.jsonl,/workspace/postpreprocess/clean/opt_query_bert_multilingual_lap_full_pred.jsonl,300,258,42
opt_query_bert_multilingual_res_full_pred.jsonl,/workspace/postpreprocess/data/opt_query_bert_multilingual_res_full_pred.jsonl,/workspace/postpreprocess/clean/opt_query_bert_multilingual_res_full_pred.jsonl,300,279,21
subtask_3-bert_E1B1_lap.jsonl,/workspace/postpreprocess/data/subtask_3-bert_E1B1_lap.jsonl,/workspace/postpreprocess/clean/subtask_3-bert_E1B1_lap.jsonl,300,255,45
subtask_3-bert_E1B1_res.jsonl,/workspace/postpreprocess/data/subtask_3-bert_E1B1_res.jsonl,/workspace/postpreprocess/clean/subtask_3-bert_E1B1_res.jsonl,300,283,17
subtask_3-chinese_E1B1_lap.jsonl,/workspace/postpreprocess/data/subtask_3-chinese_E1B1_lap.jsonl,/workspace/postpreprocess/clean/subtask_3-chinese_E1B1_lap.jsonl,300,264,36
subtask_3-chinese_E1B1_res.jsonl,/workspace/postpreprocess/data/subtask_3-chinese_E1B1_res.jsonl,/workspace/postpreprocess/clean/subtask_3-chinese_E1B1_res.jsonl,300,273,27
opt_query_bert_chinese_lap_full_pred.jsonl,/workspace/postpreprocess/data/opt_query_bert_chinese_lap_full_pred.jsonl,/workspace/postpreprocess/clean/opt_query_bert_chinese_lap_full_pred.jsonl,300,262,38
opt_query_bert_chinese_res_full_pred.jsonl,/workspace/postpreprocess/data/opt_query_bert_chinese_res_full_pred.jsonl,/workspace/postpreprocess/clean/opt_query_bert_chinese_res_full_pred.jsonl,300,271,29
opt_query_bert_multilingual_lap_full_pred.jsonl,/workspace/postpreprocess/data/opt_query_bert_multilingual_lap_full_pred.jsonl,/workspace/postpreprocess/clean/opt_query_bert_multilingual_lap_full_pred.jsonl,300,258,42
opt_query_bert_multilingual_res_full_pred.jsonl,/workspace/postpreprocess/data/opt_query_bert_multilingual_res_full_pred.jsonl,/workspace/postpreprocess/clean/opt_query_bert_multilingual_res_full_pred.jsonl,300,279,21
subtask_3-bert_E1B1_lap.jsonl,/workspace/postpreprocess/data/subtask_3-bert_E1B1_lap.jsonl,/workspace/postpreprocess/clean/subtask_3-bert_E1B1_lap.jsonl,300,255,45
subtask_3-bert_E1B1_res.jsonl,/workspace/postpreprocess/data/subtask_3-bert_E1B1_res.jsonl,/workspace/postpreprocess/clean/subtask_3-bert_E1B1_res.jsonl,300,283,17
subtask_3-chinese_E1B1_lap.jsonl,/workspace/postpreprocess/data/subtask_3-chinese_E1B1_lap.jsonl,/workspace/postpreprocess/clean/subtask_3-chinese_E1B1_lap.jsonl,300,264,36
subtask_3-chinese_E1B1_res.jsonl,/workspace/postpreprocess/data/subtask_3-chinese_E1B1_res.jsonl,/workspace/postpreprocess/clean/subtask_3-chinese_E1B1_res.jsonl,300,273,27
opt_query_bert_chinese_lap_full_pred.jsonl,/home/kuan/NLP2025/task3/postpreprocess/data/opt_query_bert_chinese_lap_full_pred.jsonl,/home/kuan/NLP2025/task3/postpreprocess/clean/opt_query_bert_chinese_lap_full_pred.jsonl,300,262,38
opt_query_bert_chinese_res_full_pred.jsonl,/home/kuan/NLP2025/task3/postpreprocess/data/opt_query_bert_chinese_res_full_pred.jsonl,/home/kuan/NLP2025/task3/postpreprocess/clean/opt_query_bert_chinese_res_full_pred.jsonl,300,271,29
opt_query_bert_multilingual_lap_full_pred.jsonl,/home/kuan/NLP2025/task3/postpreprocess/data/opt_query_bert_multilingual_lap_full_pred.jsonl,/home/kuan/NLP2025/task3/postpreprocess/clean/opt_query_bert_multilingual_lap_full_pred.jsonl,300,258,42
opt_query_bert_multilingual_res_full_pred.jsonl,/home/kuan/NLP2025/task3/postpreprocess/data/opt_query_bert_multilingual_res_full_pred.jsonl,/home/kuan/NLP2025/task3/postpreprocess/clean/opt_query_bert_multilingual_res_full_pred.jsonl,300,279,21
subtask_3-bert_E1B1_lap.jsonl,/home/kuan/NLP2025/task3/postpreprocess/data/subtask_3-bert_E1B1_lap.jsonl,/home/kuan/NLP2025/task3/postpreprocess/clean/subtask_3-bert_E1B1_lap.jsonl,300,255,45
subtask_3-bert_E1B1_res.jsonl,/home/kuan/NLP2025/task3/postpreprocess/data/subtask_3-bert_E1B1_res.jsonl,/home/kuan/NLP2025/task3/postpreprocess/clean/subtask_3-bert_E1B1_res.jsonl,300,283,17
subtask_3-chinese_E1B1_lap.jsonl,/home/kuan/NLP2025/task3/postpreprocess/data/subtask_3-chinese_E1B1_lap.jsonl,/home/kuan/NLP2025/task3/postpreprocess/clean/subtask_3-chinese_E1B1_lap.jsonl,300,264,36
subtask_3-chinese_E1B1_res.jsonl,/home/kuan/NLP2025/task3/postpreprocess/data/subtask_3-chinese_E1B1_res.jsonl,/home/kuan/NLP2025/task3/postpreprocess/clean/subtask_3-chinese_E1B1_res.jsonl,300,273,27
opt_query_bert_chinese_lap_full_pred.jsonl,/homepool2/minkuanchen/nycu/NLP2025-subtask3/postpreprocess/data/opt_query_bert_chinese_lap_full_pred.jsonl,/homepool2/minkuanchen/nycu/NLP2025-subtask3/postpreprocess/clean/opt_query_bert_chinese_lap_full_pred.jsonl,300,262,38
opt_query_bert_chinese_res_full_pred.jsonl,/homepool2/minkuanchen/nycu/NLP2025-subtask3/postpreprocess/data/opt_query_bert_chinese_res_full_pred.jsonl,/homepool2/minkuanchen/nycu/NLP2025-subtask3/postpreprocess/clean/opt_query_bert_chinese_res_full_pred.jsonl,300,271,29
opt_query_bert_multilingual_lap_full_pred.jsonl,/homepool2/minkuanchen/nycu/NLP2025-subtask3/postpreprocess/data/opt_query_bert_multilingual_lap_full_pred.jsonl,/homepool2/minkuanchen/nycu/NLP2025-subtask3/postpreprocess/clean/opt_query_bert_multilingual_lap_full_pred.jsonl,300,258,42
opt_query_bert_multilingual_res_full_pred.jsonl,/homepool2/minkuanchen/nycu/NLP2025-subtask3/postpreprocess/data/opt_query_bert_multilingual_res_full_pred.jsonl,/homepool2/minkuanchen/nycu/NLP2025-subtask3/postpreprocess/clean/opt_query_bert_multilingual_res_full_pred.jsonl,300,279,21
subtask_3-bert_E1B1_lap.jsonl,/homepool2/minkuanchen/nycu/NLP2025-subtask3/postpreprocess/data/subtask_3-bert_E1B1_lap.jsonl,/homepool2/minkuanchen/nycu/NLP2025-subtask3/postpreprocess/clean/subtask_3-bert_E1B1_lap.jsonl,300,255,45
subtask_3-bert_E1B1_res.jsonl,/homepool2/minkuanchen/nycu/NLP2025-subtask3/postpreprocess/data/subtask_3-bert_E1B1_res.jsonl,/homepool2/minkuanchen/nycu/NLP2025-subtask3/postpreprocess/clean/subtask_3-bert_E1B1_res.jsonl,300,283,17
subtask_3-chinese_E1B1_lap.jsonl,/homepool2/minkuanchen/nycu/NLP2025-subtask3/postpreprocess/data/subtask_3-chinese_E1B1_lap.jsonl,/homepool2/minkuanchen/nycu/NLP2025-subtask3/postpreprocess/clean/subtask_3-chinese_E1B1_lap.jsonl,300,264,36
subtask_3-chinese_E1B1_res.jsonl,/homepool2/minkuanchen/nycu/NLP2025-subtask3/postpreprocess/data/subtask_3-chinese_E1B1_res.jsonl,/homepool2/minkuanchen/nycu/NLP2025-subtask3/postpreprocess/clean/subtask_3-chinese_E1B1_res.jsonl,300,273,27
opt_query_bert_chinese_lap_full_pred.jsonl,/workspace/data/opt_query_bert_chinese_lap_full_pred.jsonl,/workspace/clean/opt_query_bert_chinese_lap_full_pred.jsonl,300,262,38
opt_query_bert_chinese_res_full_pred.jsonl,/workspace/data/opt_query_bert_chinese_res_full_pred.jsonl,/workspace/clean/opt_query_bert_chinese_res_full_pred.jsonl,300,271,29
opt_query_bert_multilingual_lap_full_pred.jsonl,/workspace/data/opt_query_bert_multilingual_lap_full_pred.jsonl,/workspace/clean/opt_query_bert_multilingual_lap_full_pred.jsonl,300,258,42
opt_query_bert_multilingual_res_full_pred.jsonl,/workspace/data/opt_query_bert_multilingual_res_full_pred.jsonl,/workspace/clean/opt_query_bert_multilingual_res_full_pred.jsonl,300,279,21
subtask_3-bert_E1B1_lap.jsonl,/workspace/data/subtask_3-bert_E1B1_lap.jsonl,/workspace/clean/subtask_3-bert_E1B1_lap.jsonl,300,255,45
subtask_3-bert_E1B1_res.jsonl,/workspace/data/subtask_3-bert_E1B1_res.jsonl,/workspace/clean/subtask_3-bert_E1B1_res.jsonl,300,283,17
subtask_3-chinese_E1B1_lap.jsonl,/workspace/data/subtask_3-chinese_E1B1_lap.jsonl,/workspace/clean/subtask_3-chinese_E1B1_lap.jsonl,300,264,36
subtask_3-chinese_E1B1_res.jsonl,/workspace/data/subtask_3-chinese_E1B1_res.jsonl,/workspace/clean/subtask_3-chinese_E1B1_res.jsonl,300,273,27
opt_query_bert_chinese_lap_full_pred.jsonl,/homepool2/minkuanchen/nycu/NLP2025-subtask3/postpreprocess/data/opt_query_bert_chinese_lap_full_pred.jsonl,/homepool2/minkuanchen/nycu/NLP2025-subtask3/postpreprocess/clean/opt_query_bert_chinese_lap_full_pred.jsonl,300,262,38
opt_query_bert_chinese_res_full_pred.jsonl,/homepool2/minkuanchen/nycu/NLP2025-subtask3/postpreprocess/data/opt_query_bert_chinese_res_full_pred.jsonl,/homepool2/minkuanchen/nycu/NLP2025-subtask3/postpreprocess/clean/opt_query_bert_chinese_res_full_pred.jsonl,300,271,29
opt_query_bert_multilingual_lap_full_pred.jsonl,/homepool2/minkuanchen/nycu/NLP2025-subtask3/postpreprocess/data/opt_query_bert_multilingual_lap_full_pred.jsonl,/homepool2/minkuanchen/nycu/NLP2025-subtask3/postpreprocess/clean/opt_query_bert_multilingual_lap_full_pred.jsonl,300,258,42
opt_query_bert_multilingual_res_full_pred.jsonl,/homepool2/minkuanchen/nycu/NLP2025-subtask3/postpreprocess/data/opt_query_bert_multilingual_res_full_pred.jsonl,/homepool2/minkuanchen/nycu/NLP2025-subtask3/postpreprocess/clean/opt_query_bert_multilingual_res_full_pred.jsonl,300,279,21
subtask_3-bert_E1B1_lap.jsonl,/homepool2/minkuanchen/nycu/NLP2025-subtask3/postpreprocess/data/subtask_3-bert_E1B1_lap.jsonl,/homepool2/minkuanchen/nycu/NLP2025-subtask3/postpreprocess/clean/subtask_3-bert_E1B1_lap.jsonl,300,255,45
subtask_3-bert_E1B1_res.jsonl,/homepool2/minkuanchen/nycu/NLP2025-subtask3/postpreprocess/data/subtask_3-bert_E1B1_res.jsonl,/homepool2/minkuanchen/nycu/NLP2025-subtask3/postpreprocess/clean/subtask_3-bert_E1B1_res.jsonl,300,283,17
subtask_3-chinese_E1B1_lap.jsonl,/homepool2/minkuanchen/nycu/NLP2025-subtask3/postpreprocess/data/subtask_3-chinese_E1B1_lap.jsonl,/homepool2/minkuanchen/nycu/NLP2025-subtask3/postpreprocess/clean/subtask_3-chinese_E1B1_lap.jsonl,300,264,36
subtask_3-chinese_E1B1_res.jsonl,/homepool2/minkuanchen/nycu/NLP2025-subtask3/postpreprocess/data/subtask_3-chinese_E1B1_res.jsonl,/homepool2/minkuanchen/nycu/NLP2025-subtask3/postpreprocess/clean/subtask_3-chinese_E1B1_res.jsonl,300,273,27
opt_query_bert_chinese_lap_full_pred.jsonl,/workspace/data/opt_query_bert_chinese_lap_full_pred.jsonl,/workspace/clean/opt_query_bert_chinese_lap_full_pred.jsonl,300,262,38
opt_query_bert_chinese_res_full_pred.jsonl,/workspace/data/opt_query_bert_chinese_res_full_pred.jsonl,/workspace/clean/opt_query_bert_chinese_res_full_pred.jsonl,300,271,29
opt_query_bert_multilingual_lap_full_pred.jsonl,/workspace/data/opt_query_bert_multilingual_lap_full_pred.jsonl,/workspace/clean/opt_query_bert_multilingual_lap_full_pred.jsonl,300,258,42
opt_query_bert_multilingual_res_full_pred.jsonl,/workspace/data/opt_query_bert_multilingual_res_full_pred.jsonl,/workspace/clean/opt_query_bert_multilingual_res_full_pred.jsonl,300,279,21
subtask_3-bert_E1B1_lap.jsonl,/workspace/data/subtask_3-bert_E1B1_lap.jsonl,/workspace/clean/subtask_3-bert_E1B1_lap.jsonl,300,255,45
subtask_3-bert_E1B1_res.jsonl,/workspace/data/subtask_3-bert_E1B1_res.jsonl,/workspace/clean/subtask_3-bert_E1B1_res.jsonl,300,283,17
subtask_3-chinese_E1B1_lap.jsonl,/workspace/data/subtask_3-chinese_E1B1_lap.jsonl,/workspace/clean/subtask_3-chinese_E1B1_lap.jsonl,300,264,36
subtask_3-chinese_E1B1_res.jsonl,/workspace/data/subtask_3-chinese_E1B1_res.jsonl,/workspace/clean/subtask_3-chinese_E1B1_res.jsonl,300,273,27
opt_query_bert_chinese_lap_full_pred.jsonl,/homepool2/minkuanchen/nycu/NLP2025-subtask3/postpreprocess/data/opt_query_bert_chinese_lap_full_pred.jsonl,/homepool2/minkuanchen/nycu/NLP2025-subtask3/postpreprocess/clean/opt_query_bert_chinese_lap_full_pred.jsonl,300,262,38
opt_query_bert_chinese_res_full_pred.jsonl,/homepool2/minkuanchen/nycu/NLP2025-subtask3/postpreprocess/data/opt_query_bert_chinese_res_full_pred.jsonl,/homepool2/minkuanchen/nycu/NLP2025-subtask3/postpreprocess/clean/opt_query_bert_chinese_res_full_pred.jsonl,300,271,29
opt_query_bert_multilingual_lap_full_pred.jsonl,/homepool2/minkuanchen/nycu/NLP2025-subtask3/postpreprocess/data/opt_query_bert_multilingual_lap_full_pred.jsonl,/homepool2/minkuanchen/nycu/NLP2025-subtask3/postpreprocess/clean/opt_query_bert_multilingual_lap_full_pred.jsonl,300,258,42
opt_query_bert_multilingual_res_full_pred.jsonl,/homepool2/minkuanchen/nycu/NLP2025-subtask3/postpreprocess/data/opt_query_bert_multilingual_res_full_pred.jsonl,/homepool2/minkuanchen/nycu/NLP2025-subtask3/postpreprocess/clean/opt_query_bert_multilingual_res_full_pred.jsonl,300,279,21
subtask_3-bert_E1B1_lap.jsonl,/homepool2/minkuanchen/nycu/NLP2025-subtask3/postpreprocess/data/subtask_3-bert_E1B1_lap.jsonl,/homepool2/minkuanchen/nycu/NLP2025-subtask3/postpreprocess/clean/subtask_3-bert_E1B1_lap.jsonl,300,255,45
subtask_3-bert_E1B1_res.jsonl,/homepool2/minkuanchen/nycu/NLP2025-subtask3/postpreprocess/data/subtask_3-bert_E1B1_res.jsonl,/homepool2/minkuanchen/nycu/NLP2025-subtask3/postpreprocess/clean/subtask_3-bert_E1B1_res.jsonl,300,283,17
subtask_3-chinese_E1B1_lap.jsonl,/homepool2/minkuanchen/nycu/NLP2025-subtask3/postpreprocess/data/subtask_3-chinese_E1B1_lap.jsonl,/homepool2/minkuanchen/nycu/NLP2025-subtask3/postpreprocess/clean/subtask_3-chinese_E1B1_lap.jsonl,300,264,36
subtask_3-chinese_E1B1_res.jsonl,/homepool2/minkuanchen/nycu/NLP2025-subtask3/postpreprocess/data/subtask_3-chinese_E1B1_res.jsonl,/homepool2/minkuanchen/nycu/NLP2025-subtask3/postpreprocess/clean/subtask_3-chinese_E1B1_res.jsonl,300,273,27
opt_query_bert_chinese_lap_full_pred.jsonl,/workspace/data/opt_query_bert_chinese_lap_full_pred.jsonl,/workspace/clean/opt_query_bert_chinese_lap_full_pred.jsonl,300,262,38
opt_query_bert_chinese_res_full_pred.jsonl,/workspace/data/opt_query_bert_chinese_res_full_pred.jsonl,/workspace/clean/opt_query_bert_chinese_res_full_pred.jsonl,300,271,29
opt_query_bert_multilingual_lap_full_pred.jsonl,/workspace/data/opt_query_bert_multilingual_lap_full_pred.jsonl,/workspace/clean/opt_query_bert_multilingual_lap_full_pred.jsonl,300,258,42
opt_query_bert_multilingual_res_full_pred.jsonl,/workspace/data/opt_query_bert_multilingual_res_full_pred.jsonl,/workspace/clean/opt_query_bert_multilingual_res_full_pred.jsonl,300,279,21
subtask_3-bert_E1B1_lap.jsonl,/workspace/data/subtask_3-bert_E1B1_lap.jsonl,/workspace/clean/subtask_3-bert_E1B1_lap.jsonl,300,255,45
subtask_3-bert_E1B1_res.jsonl,/workspace/data/subtask_3-bert_E1B1_res.jsonl,/workspace/clean/subtask_3-bert_E1B1_res.jsonl,300,283,17
subtask_3-chinese_E1B1_lap.jsonl,/workspace/data/subtask_3-chinese_E1B1_lap.jsonl,/workspace/clean/subtask_3-chinese_E1B1_lap.jsonl,300,264,36
subtask_3-chinese_E1B1_res.jsonl,/workspace/data/subtask_3-chinese_E1B1_res.jsonl,/workspace/clean/subtask_3-chinese_E1B1_res.jsonl,300,273,27
opt_query_bert_chinese_lap_full_pred.jsonl,/workspace/data/opt_query_bert_chinese_lap_full_pred.jsonl,/workspace/clean/opt_query_bert_chinese_lap_full_pred.jsonl,300,262,38
opt_query_bert_chinese_res_full_pred.jsonl,/workspace/data/opt_query_bert_chinese_res_full_pred.jsonl,/workspace/clean/opt_query_bert_chinese_res_full_pred.jsonl,300,271,29
opt_query_bert_multilingual_lap_full_pred.jsonl,/workspace/data/opt_query_bert_multilingual_lap_full_pred.jsonl,/workspace/clean/opt_query_bert_multilingual_lap_full_pred.jsonl,300,258,42
opt_query_bert_multilingual_res_full_pred.jsonl,/workspace/data/opt_query_bert_multilingual_res_full_pred.jsonl,/workspace/clean/opt_query_bert_multilingual_res_full_pred.jsonl,300,279,21
subtask_3-bert_E1B1_lap.jsonl,/workspace/data/subtask_3-bert_E1B1_lap.jsonl,/workspace/clean/subtask_3-bert_E1B1_lap.jsonl,300,255,45
subtask_3-bert_E1B1_res.jsonl,/workspace/data/subtask_3-bert_E1B1_res.jsonl,/workspace/clean/subtask_3-bert_E1B1_res.jsonl,300,283,17
subtask_3-chinese_E1B1_lap.jsonl,/workspace/data/subtask_3-chinese_E1B1_lap.jsonl,/workspace/clean/subtask_3-chinese_E1B1_lap.jsonl,300,264,36
subtask_3-chinese_E1B1_res.jsonl,/workspace/data/subtask_3-chinese_E1B1_res.jsonl,/workspace/clean/subtask_3-chinese_E1B1_res.jsonl,300,273,27
